input,expected_output,metadata
"{\"question\":\"What is 84+84?\"}","{\"answer\":\"168\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 85+85?\"}","{\"answer\":\"170\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 86+86?\"}","{\"answer\":\"172\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 87+87?\"}","{\"answer\":\"174\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 88+88?\"}","{\"answer\":\"176\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 89+89?\"}","{\"answer\":\"178\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 90+90?\"}","{\"answer\":\"180\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 91+91?\"}","{\"answer\":\"182\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 92+92?\"}","{\"answer\":\"184\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 93+93?\"}","{\"answer\":\"186\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 94+94?\"}","{\"answer\":\"188\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 95+95?\"}","{\"answer\":\"190\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 96+96?\"}","{\"answer\":\"192\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 97+97?\"}","{\"answer\":\"194\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 98+98?\"}","{\"answer\":\"196\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 99+99?\"}","{\"answer\":\"198\"}","{\"level\":\"easy\"}"
"{\"question\":\"What is 100+100?\"}","{\"answer\":\"200\"}","{\"level\":\"easy\"}"
